trial,min_weight_on_accessible,max_blocked,sum_blocked
54,0.196960,0.0000000000,0.0000000000
55,0.199468,0.0000000000,0.0000000000
56,0.195913,0.0000000000,0.0000000000
57,0.197217,0.0000000000,0.0000000000
58,0.196757,0.0000000000,0.0000000000
59,0.196119,0.0000000000,0.0000000000
60,0.199640,0.0000000000,0.0000000000
61,0.196591,0.0000000000,0.0000000000
62,0.196417,0.0000000000,0.0000000000
63,0.196923,0.0000000000,0.0000000000
64,0.192882,0.0000000000,0.0000000000
65,0.197379,0.0000000000,0.0000000000
66,0.197323,0.0000000000,0.0000000000
67,0.196700,0.0000000000,0.0000000000
68,0.193829,0.0000000000,0.0000000000
69,0.198315,0.0000000000,0.0000000000
70,0.198615,0.0000000000,0.0000000000
71,0.198233,0.0000000000,0.0000000000
72,0.196366,0.0000000000,0.0000000000
73,0.195029,0.0000000000,0.0000000000
74,0.195949,0.0000000000,0.0000000000
75,0.198596,0.0000000000,0.0000000000
76,0.194485,0.0000000000,0.0000000000
77,0.197280,0.0000000000,0.0000000000
78,0.196840,0.0000000000,0.0000000000
79,0.198733,0.0000000000,0.0000000000
80,0.198310,0.0000000000,0.0000000000
81,0.198704,0.0000000000,0.0000000000
82,0.197971,0.0000000000,0.0000000000
83,0.199131,0.0000000000,0.0000000000
84,0.199525,0.0000000000,0.0000000000
85,0.196606,0.0000000000,0.0000000000
86,0.197727,0.0000000000,0.0000000000
87,0.196207,0.0000000000,0.0000000000
88,0.198081,0.0000000000,0.0000000000
89,0.196629,0.0000000000,0.0000000000
90,0.194024,0.0000000000,0.0000000000
91,0.199368,0.0000000000,0.0000000000
92,0.196848,0.0000000000,0.0000000000
93,0.198434,0.0000000000,0.0000000000
94,0.197600,0.0000000000,0.0000000000
95,0.198093,0.0000000000,0.0000000000
96,0.198652,0.0000000000,0.0000000000
97,0.197081,0.0000000000,0.0000000000
98,0.199763,0.0000000000,0.0000000000
99,0.198181,0.0000000000,0.0000000000
100,0.197190,0.0000000000,0.0000000000
101,0.194420,0.0000000000,0.0000000000
102,0.197646,0.0000000000,0.0000000000
103,0.197569,0.0000000000,0.0000000000
104,0.193596,0.0000000000,0.0000000000
105,0.193693,0.0000000000,0.0000000000
106,0.198471,0.0000000000,0.0000000000
107,0.196945,0.0000000000,0.0000000000
108,0.198229,0.0000000000,0.0000000000
109,0.194717,0.0000000000,0.0000000000
110,0.196644,0.0000000000,0.0000000000
111,0.196963,0.0000000000,0.0000000000
112,0.196348,0.0000000000,0.0000000000
113,0.195444,0.0000000000,0.0000000000
114,0.196576,0.0000000000,0.0000000000
115,0.198523,0.0000000000,0.0000000000
116,0.196429,0.0000000000,0.0000000000
117,0.198862,0.0000000000,0.0000000000
118,0.195724,0.0000000000,0.0000000000
119,0.198522,0.0000000000,0.0000000000
120,0.199214,0.0000000000,0.0000000000
121,0.195250,0.0000000000,0.0000000000
122,0.198705,0.0000000000,0.0000000000
123,0.195799,0.0000000000,0.0000000000
124,0.195243,0.0000000000,0.0000000000
125,0.195133,0.0000000000,0.0000000000
126,0.195380,0.0000000000,0.0000000000
127,0.197477,0.0000000000,0.0000000000
128,0.197096,0.0000000000,0.0000000000
129,0.196795,0.0000000000,0.0000000000
130,0.193005,0.0000000000,0.0000000000
131,0.191748,0.0000000000,0.0000000000
132,0.196398,0.0000000000,0.0000000000
133,0.196662,0.0000000000,0.0000000000
134,0.199103,0.0000000000,0.0000000000
135,0.196759,0.0000000000,0.0000000000
136,0.195510,0.0000000000,0.0000000000
137,0.198370,0.0000000000,0.0000000000
138,0.198536,0.0000000000,0.0000000000
139,0.198211,0.0000000000,0.0000000000
140,0.199518,0.0000000000,0.0000000000
141,0.199142,0.0000000000,0.0000000000
142,0.196681,0.0000000000,0.0000000000
143,0.196598,0.0000000000,0.0000000000
144,0.196362,0.0000000000,0.0000000000
145,0.195639,0.0000000000,0.0000000000
146,0.198554,0.0000000000,0.0000000000
147,0.197643,0.0000000000,0.0000000000
148,0.197051,0.0000000000,0.0000000000
149,0.195049,0.0000000000,0.0000000000
150,0.196471,0.0000000000,0.0000000000
151,0.194494,0.0000000000,0.0000000000
152,0.194846,0.0000000000,0.0000000000
153,0.195956,0.0000000000,0.0000000000
154,0.196399,0.0000000000,0.0000000000
155,0.196843,0.0000000000,0.0000000000
156,0.197231,0.0000000000,0.0000000000
157,0.193022,0.0000000000,0.0000000000
158,0.197636,0.0000000000,0.0000000000
159,0.198172,0.0000000000,0.0000000000
160,0.195246,0.0000000000,0.0000000000
161,0.197808,0.0000000000,0.0000000000
162,0.198137,0.0000000000,0.0000000000
163,0.199243,0.0000000000,0.0000000000
164,0.193833,0.0000000000,0.0000000000
165,0.198394,0.0000000000,0.0000000000
166,0.196522,0.0000000000,0.0000000000
167,0.197953,0.0000000000,0.0000000000
168,0.197778,0.0000000000,0.0000000000
169,0.198370,0.0000000000,0.0000000000
170,0.196157,0.0000000000,0.0000000000
171,0.195234,0.0000000000,0.0000000000
172,0.197148,0.0000000000,0.0000000000
173,0.195182,0.0000000000,0.0000000000
174,0.198315,0.0000000000,0.0000000000
175,0.195202,0.0000000000,0.0000000000
176,0.196963,0.0000000000,0.0000000000
177,0.198212,0.0000000000,0.0000000000
178,0.197479,0.0000000000,0.0000000000
179,0.193531,0.0000000000,0.0000000000
180,0.196006,0.0000000000,0.0000000000
181,0.194700,0.0000000000,0.0000000000
182,0.196981,0.0000000000,0.0000000000
183,0.197000,0.0000000000,0.0000000000
184,0.198450,0.0000000000,0.0000000000
185,0.195017,0.0000000000,0.0000000000
186,0.195402,0.0000000000,0.0000000000
187,0.197353,0.0000000000,0.0000000000
188,0.198356,0.0000000000,0.0000000000
189,0.194861,0.0000000000,0.0000000000
190,0.196726,0.0000000000,0.0000000000
191,0.196477,0.0000000000,0.0000000000
192,0.195069,0.0000000000,0.0000000000
193,0.190672,0.0000000000,0.0000000000
194,0.197330,0.0000000000,0.0000000000
195,0.199688,0.0000000000,0.0000000000
196,0.198655,0.0000000000,0.0000000000
197,0.197226,0.0000000000,0.0000000000
198,0.198836,0.0000000000,0.0000000000
199,0.196807,0.0000000000,0.0000000000
200,0.198057,0.0000000000,0.0000000000
201,0.196532,0.0000000000,0.0000000000
